Time Series Data,,,,,,,,,,,,,,,,,,
DBKEY,STATION,TYPE,UNITS,FQ,STAT,STRATA,OPNUM,RCDR,AGENCY,START,END,CNTY,LAT,LONG,SEC,TWP,RNG,ALTERNATE ID
V2452,FHCHSX,AIRT,Degrees Celsius,DA,MEAN,0,,CR10,WMD,2007,2022,PAL,263914,800405,9,44,43,FHCHSXAT
Station,DBKEY,Daily Date,Data Value,Qualifer,Revision Date,,,,,,,,,,,,,
FHCHSX,V2452,18-Dec-20,15.31,,22-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,19-Dec-20,19.59,,22-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,20-Dec-20,22.35,,22-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,21-Dec-20,21.56,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,22-Dec-20,17.74,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,23-Dec-20,21.07,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,24-Dec-20,24.48,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,25-Dec-20,11.81,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,26-Dec-20,11.09,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,27-Dec-20,15.92,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,28-Dec-20,19.7,,30-Dec-20,,,,,,,,,,,,,
FHCHSX,V2452,29-Dec-20,22.06,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,30-Dec-20,23.08,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,31-Dec-20,24.3,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,1-Jan-21,24.65,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,2-Jan-21,24.14,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,3-Jan-21,23.62,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,4-Jan-21,19.26,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,5-Jan-21,15.94,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,6-Jan-21,16.31,,8-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,7-Jan-21,19.46,,19-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,8-Jan-21,20.47,,19-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,9-Jan-21,13.97,,19-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,10-Jan-21,14.04,,19-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,11-Jan-21,21.14,,19-Jan-21,,,,,,,,,,,,,
FHCHSX,V2452,12-Jan-21,19.97,,19-Jan-21,,,,,,,,,,,,,
