"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"LA373","3AS3WX","AIRT","Degrees Celsius","DA","MEAN","0","","CR10","WMD","2000","2023","DAD","255106","804558","18","53","36","3AS3W+AT",""
"Station","DBKEY","Daily Date","Data Value","Qualifer","Revision Date"
"3AS3WX","LA373","01-JAN-2020","18.44","","08-JAN-2020"
"3AS3WX","LA373","02-JAN-2020","21.51","","08-JAN-2020"
"3AS3WX","LA373","03-JAN-2020","23.73","","08-JAN-2020"
"3AS3WX","LA373","04-JAN-2020","23.70","","08-JAN-2020"
"3AS3WX","LA373","05-JAN-2020","15.97","","08-JAN-2020"
"3AS3WX","LA373","06-JAN-2020","15.96","","08-JAN-2020"
"3AS3WX","LA373","07-JAN-2020","17.69","","22-JAN-2020"
"3AS3WX","LA373","08-JAN-2020","17.05","","22-JAN-2020"
"3AS3WX","LA373","09-JAN-2020","20.05","","22-JAN-2020"
"3AS3WX","LA373","10-JAN-2020","22.81","","22-JAN-2020"
"3AS3WX","LA373","11-JAN-2020","23.91","","22-JAN-2020"
"3AS3WX","LA373","12-JAN-2020","23.64","","22-JAN-2020"
"3AS3WX","LA373","13-JAN-2020","22.93","","22-JAN-2020"
"3AS3WX","LA373","14-JAN-2020","23.15","","22-JAN-2020"
"3AS3WX","LA373","15-JAN-2020","22.09","","22-JAN-2020"
"3AS3WX","LA373","16-JAN-2020","21.73","","22-JAN-2020"
"3AS3WX","LA373","17-JAN-2020","21.24","","22-JAN-2020"
"3AS3WX","LA373","18-JAN-2020","20.99","","22-JAN-2020"
"3AS3WX","LA373","19-JAN-2020","21.74","","22-JAN-2020"
"3AS3WX","LA373","20-JAN-2020","18.75","","22-JAN-2020"
"3AS3WX","LA373","21-JAN-2020","12.38","","05-FEB-2020"
"3AS3WX","LA373","22-JAN-2020","9.36","","05-FEB-2020"
"3AS3WX","LA373","23-JAN-2020","16.68","","05-FEB-2020"
"3AS3WX","LA373","24-JAN-2020","20.02","","05-FEB-2020"
"3AS3WX","LA373","25-JAN-2020","19.40","","05-FEB-2020"
"3AS3WX","LA373","26-JAN-2020","14.91","","05-FEB-2020"
"3AS3WX","LA373","27-JAN-2020","16.66","","05-FEB-2020"
"3AS3WX","LA373","28-JAN-2020","18.95","","05-FEB-2020"
"3AS3WX","LA373","29-JAN-2020","18.63","","05-FEB-2020"
