k,S1,S2,lambda,rs,Sint,increase
0.01,0.987,0.987,0.502384574,-0.688389368,0.974169,0
0.015,0.987,0.987,1.035971744,0.035339869,0.974169,1
0.02,0.987,0.987,2.967911802,1.087858609,0.974169,1
0.025,0.987,0.987,5.113297921,1.631844582,0.974169,1
0.03,0.987,0.987,6.719561344,1.905022876,0.974169,1
0.035,0.987,0.987,8.487435575,2.138586902,0.974169,1
0.04,0.987,0.987,11.99352168,2.484366644,0.974169,1
0.045,0.987,0.987,17.70719521,2.873971066,0.974169,1
0.05,0.987,0.987,26.48876586,3.276720713,0.974169,1
0.055,0.987,0.987,39.44435069,3.674890835,0.974169,1
0.06,0.987,0.987,56.72094629,4.038143566,0.974169,1
0.065,0.987,0.987,77.61855349,4.35180649,0.974169,1
0.07,0.987,0.987,101.8399063,4.623402034,0.974169,1
0.075,0.987,0.987,132.005629,4.882844566,0.974169,1
0.08,0.987,0.987,171.8351579,5.146535633,0.974169,1
0.085,0.987,0.987,223.6825277,5.41022776,0.974169,1
0.09,0.987,0.987,293.7642324,5.682777515,0.974169,1
0.01,0.93765,0.987,0.023144756,-3.765987032,0.92546055,0
0.015,0.93765,0.987,0.124187132,-2.08596572,0.92546055,0
0.02,0.93765,0.987,0.301284304,-1.199700928,0.92546055,0
0.025,0.93765,0.987,0.620436947,-0.477331295,0.92546055,0
0.03,0.93765,0.987,1.060349525,0.058598594,0.92546055,1
0.035,0.93765,0.987,1.63732613,0.493064503,0.92546055,1
0.04,0.93765,0.987,2.497314325,0.915215884,0.92546055,1
0.045,0.93765,0.987,3.760678348,1.324599353,0.92546055,1
0.05,0.93765,0.987,5.370425423,1.680907128,0.92546055,1
0.055,0.93765,0.987,8.619887032,2.154071979,0.92546055,1
0.06,0.93765,0.987,12.54894922,2.529636935,0.92546055,1
0.065,0.93765,0.987,18.05413261,2.893374612,0.92546055,1
0.07,0.93765,0.987,25.47667886,3.237763479,0.92546055,1
0.075,0.93765,0.987,31.23188698,3.441439592,0.92546055,1
0.08,0.93765,0.987,44.14378724,3.787452198,0.92546055,1
0.085,0.93765,0.987,62.89437645,4.141456755,0.92546055,1
0.09,0.93765,0.987,77.81583773,4.35434498,0.92546055,1
0.01,0.8883,0.987,9.03E-04,-7.010020308,0.8767521,0
0.015,0.8883,0.987,0.01419533,-4.254842259,0.8767521,0
0.02,0.8883,0.987,0.04764968,-3.043879355,0.8767521,0
0.025,0.8883,0.987,0.104468806,-2.25886676,0.8767521,0
0.03,0.8883,0.987,0.201344837,-1.602736233,0.8767521,0
0.035,0.8883,0.987,0.359852709,-1.022060474,0.8767521,0
0.04,0.8883,0.987,0.599086304,-0.512349611,0.8767521,0
0.045,0.8883,0.987,0.918293751,-0.08523795,0.8767521,0
0.05,0.8883,0.987,1.259115451,0.230409451,0.8767521,1
0.055,0.8883,0.987,2.126233482,0.754352096,0.8767521,1
0.06,0.8883,0.987,3.085693067,1.126776289,0.8767521,1
0.065,0.8883,0.987,4.55139033,1.515432753,0.8767521,1
0.07,0.8883,0.987,6.750934411,1.909680927,0.8767521,1
0.075,0.8883,0.987,7.85706063,2.061412571,0.8767521,1
0.08,0.8883,0.987,11.88172546,2.475001544,0.8767521,1
0.085,0.8883,0.987,18.30129512,2.906971829,0.8767521,1
0.09,0.8883,0.987,21.48299905,3.06726188,0.8767521,1
0.01,0.83895,0.987,2.93E-05,-10.43952514,0.82804365,0
0.015,0.83895,0.987,0.001442176,-6.541602486,0.82804365,0
0.02,0.83895,0.987,0.00841555,-4.77767406,0.82804365,0
0.025,0.83895,0.987,0.022665789,-3.786898596,0.82804365,0
0.03,0.83895,0.987,0.048506742,-3.02605248,0.82804365,0
0.035,0.83895,0.987,0.094847885,-2.35548088,0.82804365,0
0.04,0.83895,0.987,0.168598257,-1.780236573,0.82804365,0
0.045,0.83895,0.987,0.263885969,-1.332238206,0.82804365,0
0.05,0.83895,0.987,0.352236039,-1.043453763,0.82804365,0
0.055,0.83895,0.987,0.61077538,-0.493026014,0.82804365,0
0.06,0.83895,0.987,0.87515972,-0.133348872,0.82804365,0
0.065,0.83895,0.987,1.294806522,0.25836128,0.82804365,1
0.07,0.83895,0.987,1.965624252,0.67580988,0.82804365,1
0.075,0.83895,0.987,2.18310942,0.7807502,0.82804365,1
0.08,0.83895,0.987,3.448479993,1.237933552,0.82804365,1
0.085,0.83895,0.987,5.626689827,1.727521317,0.82804365,1
0.09,0.83895,0.987,6.315034504,1.84293322,0.82804365,1
