k,S1,S2,lambda,rs,Sint,increase
0.01,0.987,0.987,0.7848639258283102,-0.2422449191192168,0.974169,0
0.015,0.987,0.987,1.5085813608722487,0.41116971311265677,0.974169,1
0.02,0.987,0.987,3.759103638267198,1.3241805349035451,0.974169,1
0.025,0.987,0.987,6.456649842002926,1.8651105829657155,0.974169,1
0.03,0.987,0.987,9.737507501012892,2.275985181518818,0.974169,1
0.035,0.987,0.987,18.076830510121106,2.8946310359528065,0.974169,1
0.04,0.987,0.987,31.937715596534424,3.4637876185175585,0.974169,1
0.045000000000000005,0.987,0.987,48.43652780049344,3.880254235696517,0.974169,1
0.05,0.987,0.987,69.57087407562177,4.242346003829914,0.974169,1
0.055,0.987,0.987,101.0021340995023,4.615141646316073,0.974169,1
0.060000000000000005,0.987,0.987,150.4586414915501,5.013688239057352,0.974169,1
0.065,0.987,0.987,223.7065156036407,5.410334994596907,0.974169,1
0.06999999999999999,0.987,0.987,330.28306160094365,5.79995004921967,0.974169,1
0.075,0.987,0.987,482.44462965634756,6.178866157005014,0.974169,1
0.08,0.987,0.987,690.6102664595668,6.537575650845346,0.974169,1
0.08499999999999999,0.987,0.987,961.283423238148,6.868269290814224,0.974169,1
0.09,0.987,0.987,1330.9712167260595,7.193664192861552,0.974169,1
0.01,0.93765,0.987,0.036158523295020326,-3.3198425823722486,0.9254605499999999,0
0.015,0.93765,0.987,0.18226452728781523,-1.702296200500199,0.9254605499999999,0
0.02,0.93765,0.987,0.41228095157237643,-0.8860502407431117,0.9254605499999999,0
0.025,0.93765,0.987,0.8179818384772295,-0.20091514497644103,0.9254605499999999,0
0.03,0.93765,0.987,1.4976134894938267,0.40387283410836095,0.9254605499999999,1
0.035,0.93765,0.987,2.8247654144867576,1.0384253220307338,0.9254605499999999,1
0.04,0.93765,0.987,5.289352986122614,1.6656959295283595,0.9254605499999999,1
0.045000000000000005,0.93765,0.987,8.79507731766391,2.174192169243991,0.9254605499999999,1
0.05,0.93765,0.987,12.887099923868764,2.556226805126489,0.9254605499999999,1
0.055,0.93765,0.987,21.042382019632736,3.046538595322175,0.9254605499999999,1
0.060000000000000005,0.93765,0.987,31.728657492147324,3.4572202943359023,0.9254605499999999,1
0.065,0.93765,0.987,48.75916550553987,3.88689319014217,0.9254605499999999,1
0.06999999999999999,0.93765,0.987,75.52674330267449,4.324486809464791,0.9254605499999999,1
0.075,0.93765,0.987,101.54225512158305,4.620475018466867,0.9254605499999999,1
0.08,0.93765,0.987,157.8366513516605,5.0615606460284654,0.9254605499999999,1
0.08499999999999999,0.93765,0.987,243.46140891459038,5.49495844501223,0.9254605499999999,1
0.09,0.93765,0.987,318.1696375855314,5.762584692072321,0.9254605499999999,1
0.01,0.8883,0.987,0.001410408558744748,-6.563875858588796,0.8767520999999999,0
0.015,0.8883,0.987,0.020850309905185136,-3.870386467289748,0.8767520999999999,0
0.02,0.8883,0.987,0.06836300697883903,-2.682923434299604,0.8767520999999999,0
0.025,0.8883,0.987,0.1458922267706718,-1.9248871026611134,0.8767520999999999,0
0.03,0.8883,0.987,0.28535717772461366,-1.2540136282081442,0.8767520999999999,0
0.035,0.8883,0.987,0.5569984658456872,-0.5851927933751861,0.8767520999999999,0
0.04,0.8883,0.987,1.0567528730505993,0.05520087922198365,0.8767520999999999,1
0.045000000000000005,0.8883,0.987,1.80456486976637,0.5903194933414377,0.8767520999999999,1
0.05,0.8883,0.987,2.630947734569434,0.9673441366268728,0.8767520999999999,1
0.055,0.8883,0.987,4.725088452557422,1.5528862808884598,0.8767520999999999,1
0.060000000000000005,0.8883,0.987,7.186455365391305,1.972198055093223,0.8767520999999999,1
0.065,0.8883,0.987,11.273159305153776,2.4224246175294546,0.8767520999999999,1
0.06999999999999999,0.8883,0.987,18.10727047993701,2.8963135415927903,0.8767520999999999,1
0.075,0.8883,0.987,22.557123676217333,3.116050921879901,0.8767520999999999,1
0.08,0.8883,0.987,37.42046680035414,3.6222177953901067,0.8767520999999999,1
0.08499999999999999,0.8883,0.987,62.93778975421582,4.1421467743087526,0.8767520999999999,1
0.09,0.8883,0.987,77.83864286744806,4.354638002826583,0.8767520999999999,1
0.01,0.83895,0.987,4.570144282105856e-5,-9.993380688985713,0.8280436499999999,0
0.015,0.83895,0.987,0.0021184040798557374,-6.157092266309666,0.8280436499999999,0
0.02,0.83895,0.987,0.012195663673659977,-4.406674827010729,0.8280436499999999,0
0.025,0.83895,0.987,0.032601831529410416,-3.423386810303863,0.8280436499999999,0
0.03,0.83895,0.987,0.06967266602512706,-2.663947204199925,0.8280436499999999,0
0.035,0.83895,0.987,0.14032868762399844,-1.9637678393329552,0.8280436499999999,0
0.04,0.83895,0.987,0.26622386881032306,-1.3234177120884092,0.8280436499999999,0
0.045000000000000005,0.83895,0.987,0.4495907409544817,-0.799417574577166,0.8280436499999999,0
0.05,0.83895,0.987,0.6365361795110233,-0.45171402126304766,0.8280436499999999,0
0.055,0.83895,0.987,1.1978633733729735,0.1805394475910443,0.8280436499999999,1
