k,S1,S2,S3,ST1,ST2,ST3,lambda,FST1,FST2,FST3,increase,Sinteract
0.005,1,1,1,0.987,0.987,0.987,0,0.987,0.987,0.987,0,0.961504803
0.005,0.9,1,1,0.8883,0.987,0.987,0,0.8883,0.987,0.987,0,0.865354323
0.005,0.8,1,1,0.7896,0.987,0.987,0,0.7896,0.987,0.987,0,0.769203842
0.005,0.7,1,1,0.6909,0.987,0.987,0,0.6909,0.987,0.987,0,0.673053362
0.005,0.6,1,1,0.5922,0.987,0.987,0,0.5922,0.987,0.987,0,0.576902882
0.005,1,0.9,1,0.987,0.8883,0.987,0,0.987,0.8883,0.987,0,0.865354323
0.005,1,0.8,1,0.987,0.7896,0.987,0,0.987,0.7896,0.987,0,0.769203842
0.005,1,0.7,1,0.987,0.6909,0.987,0,0.987,0.6909,0.987,0,0.673053362
0.005,1,0.6,1,0.987,0.5922,0.987,0,0.987,0.5922,0.987,0,0.576902882
0.005,1,1,0.9,0.987,0.987,0.8883,0,0.987,0.987,0.8883,0,0.865354323
0.005,1,1,0.8,0.987,0.987,0.7896,0,0.987,0.987,0.7896,0,0.769203842
0.005,1,1,0.7,0.987,0.987,0.6909,0,0.987,0.987,0.6909,0,0.673053362
0.005,1,1,0.6,0.987,0.987,0.5922,0,0.987,0.987,0.5922,0,0.576902882
0.005,0.9,0.9,0.9,0.8883,0.8883,0.8883,0,0.8883,0.8883,0.8883,0,0.700937001
0.005,1,0.9,0.9,0.987,0.8883,0.8883,0,0.987,0.8883,0.8883,0,0.77881889
0.005,0.8,0.9,0.9,0.7896,0.8883,0.8883,0,0.7896,0.8883,0.8883,0,0.623055112
0.005,0.7,0.9,0.9,0.6909,0.8883,0.8883,0,0.6909,0.8883,0.8883,0,0.545173223
0.005,0.6,0.9,0.9,0.5922,0.8883,0.8883,0,0.5922,0.8883,0.8883,0,0.467291334
0.005,0.9,1,0.9,0.8883,0.987,0.8883,0,0.8883,0.987,0.8883,0,0.77881889
0.005,0.9,0.8,0.9,0.8883,0.7896,0.8883,0,0.8883,0.7896,0.8883,0,0.623055112
0.005,0.9,0.7,0.9,0.8883,0.6909,0.8883,0,0.8883,0.6909,0.8883,0,0.545173223
0.005,0.9,0.6,0.9,0.8883,0.5922,0.8883,0,0.8883,0.5922,0.8883,0,0.467291334
0.005,0.9,0.9,1,0.8883,0.8883,0.987,0,0.8883,0.8883,0.987,0,0.77881889
0.005,0.9,0.9,0.8,0.8883,0.8883,0.7896,0,0.8883,0.8883,0.7896,0,0.623055112
0.005,0.9,0.9,0.7,0.8883,0.8883,0.6909,0,0.8883,0.8883,0.6909,0,0.545173223
0.005,0.9,0.9,0.6,0.8883,0.8883,0.5922,0,0.8883,0.8883,0.5922,0,0.467291334
0.005,0.8,0.8,0.8,0.7896,0.7896,0.7896,0,0.7896,0.7896,0.7896,0,0.492290459
0.005,1,0.8,0.8,0.987,0.7896,0.7896,0,0.987,0.7896,0.7896,0,0.615363074
0.005,0.9,0.8,0.8,0.8883,0.7896,0.7896,0,0.8883,0.7896,0.7896,0,0.553826767
0.005,0.7,0.8,0.8,0.6909,0.7896,0.7896,0,0.6909,0.7896,0.7896,0,0.430754152
0.005,0.6,0.8,0.8,0.5922,0.7896,0.7896,0,0.5922,0.7896,0.7896,0,0.369217844
0.005,0.8,1,0.8,0.7896,0.987,0.7896,0,0.7896,0.987,0.7896,0,0.615363074
0.005,0.8,0.9,0.8,0.7896,0.8883,0.7896,0,0.7896,0.8883,0.7896,0,0.553826767
0.005,0.8,0.7,0.8,0.7896,0.6909,0.7896,0,0.7896,0.6909,0.7896,0,0.430754152
0.005,0.8,0.6,0.8,0.7896,0.5922,0.7896,0,0.7896,0.5922,0.7896,0,0.369217844
0.005,0.8,0.8,1,0.7896,0.7896,0.987,0,0.7896,0.7896,0.987,0,0.615363074
0.005,0.8,0.8,0.9,0.7896,0.7896,0.8883,0,0.7896,0.7896,0.8883,0,0.553826767
0.005,0.8,0.8,0.7,0.7896,0.7896,0.6909,0,0.7896,0.7896,0.6909,0,0.430754152
0.005,0.8,0.8,0.6,0.7896,0.7896,0.5922,0,0.7896,0.7896,0.5922,0,0.369217844
0.005,0.7,0.7,0.7,0.6909,0.6909,0.6909,0,0.6909,0.6909,0.6909,0,0.329796147
0.005,1,0.7,0.7,0.987,0.6909,0.6909,0,0.987,0.6909,0.6909,0,0.471137353
0.005,0.9,0.7,0.7,0.8883,0.6909,0.6909,0,0.8883,0.6909,0.6909,0,0.424023618
0.005,0.8,0.7,0.7,0.7896,0.6909,0.6909,0,0.7896,0.6909,0.6909,0,0.376909883
0.005,0.6,0.7,0.7,0.5922,0.6909,0.6909,0,0.5922,0.6909,0.6909,0,0.282682412
0.005,0.7,1,0.7,0.6909,0.987,0.6909,0,0.6909,0.987,0.6909,0,0.471137353
0.005,0.7,0.9,0.7,0.6909,0.8883,0.6909,0,0.6909,0.8883,0.6909,0,0.424023618
0.005,0.7,0.8,0.7,0.6909,0.7896,0.6909,0,0.6909,0.7896,0.6909,0,0.376909883
0.005,0.7,0.6,0.7,0.6909,0.5922,0.6909,0,0.6909,0.5922,0.6909,0,0.282682412
0.005,0.7,0.7,1,0.6909,0.6909,0.987,0,0.6909,0.6909,0.987,0,0.471137353
0.005,0.7,0.7,0.9,0.6909,0.6909,0.8883,0,0.6909,0.6909,0.8883,0,0.424023618
0.005,0.7,0.7,0.8,0.6909,0.6909,0.7896,0,0.6909,0.6909,0.7896,0,0.376909883
0.005,0.7,0.7,0.6,0.6909,0.6909,0.5922,0,0.6909,0.6909,0.5922,0,0.282682412
