

Water depth (cm)
======
	02	03
2010/01/01	60	40
2010/01/02	60	40
2010/01/03	60	40
2010/01/04	59	39
2010/01/05	59	39
2010/01/06	59	39
2010/01/07	58	39
2010/01/08	58	38
2010/01/09	59	39
2010/01/10	59	39
2010/01/11	59	38
2010/01/12	59	38
2010/01/13	59	38
2010/01/14	58	38
2010/01/15	59	38
2010/01/16	58	38
2010/01/17	61	39
2010/01/18	61	39
2010/01/19	60	39
2010/01/20	60	39
2010/01/21	60	39
2010/01/22	60	39
2010/01/23	60	39
2010/01/24	60	39
2010/01/25	60	39
2010/01/26	60	39
2010/01/27	59	39
2010/01/28	59	38
2010/01/29	59	38
2010/01/30	58	38
2010/01/31	58	38
2010/02/01	59	38
2010/02/02	59	38
2010/02/03	59	38
2010/02/04	59	38
2010/02/05	59	38
2010/02/06	59	38
2010/02/07	58	37
2010/02/08	58	37
2010/02/09	58	37
2010/02/10	58	36
2010/02/11	57	36
2010/02/12	57	36
2010/02/13	57	37
2010/02/14	57	36
2010/02/15	56	36
2010/02/16	56	35
2010/02/17	55	35
2010/02/18	55	35
2010/02/19	55	34
2010/02/20	54	34
2010/02/21	54	34
2010/02/22	55	34
2010/02/23	54	34
2010/02/24	55	35
2010/02/25	56	36
2010/02/26	55	35
2010/02/27	55	35
2010/02/28	55	35
2010/03/01	54	34
2010/03/02	54	35
2010/03/03	54	35
2010/03/04	53	34
2010/03/05	53	34
2010/03/06	52	33
2010/03/07	52	33
2010/03/08	51	32
2010/03/09	51	32
2010/03/10	51	32
2010/03/11	50	31
2010/03/12	51	32
2010/03/13	52	34
2010/03/14	51	33
2010/03/15	50	33
2010/03/16	50	32
2010/03/17	49	32
2010/03/18	49	32
2010/03/19	49	31
2010/03/20	48	31
2010/03/21	48	30
2010/03/22	48	30
2010/03/23	47	30
2010/03/24	47	29
2010/03/25	46	29
2010/03/26	52	34
2010/03/27	51	34
2010/03/28	51	34
2010/03/29	53	38
2010/03/30	53	38
2010/03/31	53	38
2010/04/01	53	38
2010/04/02	52	38
2010/04/03	52	38
2010/04/04	52	39
2010/04/05	52	39
2010/04/06	52	39
2010/04/07	51	39
2010/04/08	51	38
2010/04/09	51	38
2010/04/10	50	38
2010/04/11	50	38
2010/04/12	51	39
2010/04/13	51	39
2010/04/14	51	38
2010/04/15	50	38
2010/04/16	50	37
2010/04/17	50	37
2010/04/18	50	38
2010/04/19	53	42
2010/04/20	53	43
2010/04/21	54	43
2010/04/22	54	43
2010/04/23	54	43
2010/04/24	54	43
2010/04/25	53	42
2010/04/26	57	46
2010/04/27	57	46
2010/04/28	57	45
2010/04/29	57	45
2010/04/30	57	45
2010/05/01	57	44
2010/05/02	56	44
2010/05/03	56	43
2010/05/04	56	43
2010/05/05	55	42
2010/05/06	55	42
2010/05/07	55	42
2010/05/08	54	42
2010/05/09	54	41
2010/05/10	53	40
2010/05/11	52	40
2010/05/12	52	39
2010/05/13	51	38
2010/05/14	51	38
2010/05/15	50	37
2010/05/16	49	36
2010/05/17	49	36
2010/05/18	50	36
2010/05/19	50	38
2010/05/20	51	38
2010/05/21	51	38
2010/05/22	50	37
2010/05/23	49	36
2010/05/24	49	36
2010/05/25	48	35
2010/05/26	48	36
2010/05/27	49	35
2010/05/28	48	35
2010/05/29	50	35
2010/05/30	50	36
2010/05/31	50	36
2010/06/01	50	37
2010/06/02	50	36
2010/06/03	50	36
2010/06/04	49	37
2010/06/05	49	36
2010/06/06	49	37
2010/06/07	49	37
2010/06/08	49	37
2010/06/09	51	37
2010/06/10	50	37
2010/06/11	50	36
2010/06/12	50	36
2010/06/13	49	36
2010/06/14	49	35
2010/06/15	49	35
2010/06/16	50	37
2010/06/17	49	36
2010/06/18	50	36
2010/06/19	49	36
2010/06/20	50	37
2010/06/21	50	37
2010/06/22	49	37
2010/06/23	49	36
2010/06/24	48	36
2010/06/25	48	35
2010/06/26	47	35
2010/06/27	47	34
2010/06/28	46	34
2010/06/29	46	34
2010/06/30	46	34
